Connected with result code qos: 0
ite/yellow 0 b'{"timestamp": "2024-11-12T13:32:20.000000", "temperature": 23.56, "illumination": 12, "team_name": "yellow", "humidity": 30}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:33:20.000000", "temperature": 23.62, "illumination": 26, "team_name": "yellow", "humidity": 29}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:34:20.000000", "temperature": 23.62, "illumination": 27, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:35:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:35:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:35:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:36:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:35:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:36:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:35:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:36:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:35:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:36:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:35:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:36:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:35:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:35:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:36:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:37:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:38:20.000000", "temperature": 23.62, "illumination": 26, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:39:20.000000", "temperature": 23.62, "illumination": 26, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:40:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:35:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:36:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:37:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:38:20.000000", "temperature": 23.62, "illumination": 26, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:39:20.000000", "temperature": 23.62, "illumination": 26, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:40:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:35:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:36:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:37:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:38:20.000000", "temperature": 23.62, "illumination": 26, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:36:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:37:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:38:20.000000", "temperature": 23.62, "illumination": 26, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:37:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:38:20.000000", "temperature": 23.62, "illumination": 26, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:39:20.000000", "temperature": 23.62, "illumination": 26, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:40:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:41:20.000000", "temperature": 23.62, "illumination": 22, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:42:20.000000", "temperature": 23.62, "illumination": 21, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:43:20.000000", "temperature": 23.62, "illumination": 22, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:44:20.000000", "temperature": 23.62, "illumination": 24, "team_name": "yellow", "humidity": 27}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:40:20.000000", "temperature": 23.62, "illumination": 25, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:41:20.000000", "temperature": 23.62, "illumination": 22, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:42:20.000000", "temperature": 23.62, "illumination": 21, "team_name": "yellow", "humidity": 28}'
ite/yellow 0 b'{"timestamp": "2024-11-12T13:43:20.000000", "temperature": 23.62, "illumination": 22, "team_name": "yellow", "humidity": 27}'
